DEPT,GR2mEspaciam
249.936,-999.25
250.0884,73.397315979
250.2408,73.397315979
250.3932,73.397315979
250.5456,73.397315979
250.698,73.397315979
250.8504,73.397315979
251.0028,73.397315979
251.1552,73.397315979
251.3076,73.397315979
251.46,73.397315979
251.6124,73.397315979
251.7648,73.397315979
251.9172,73.397315979
252.0696,73.397315979
252.222,73.397315979
252.3744,73.397315979
252.5268,73.397315979
252.6792,73.397315979
252.8316,73.397315979
252.984,73.397315979
253.1364,75.749137878
253.2888,75.749137878
253.4412,75.749137878
253.5936,75.749137878
253.746,75.749137878
253.8984,75.749137878
254.0508,75.749137878
254.2032,75.749137878
254.3556,75.749137878
254.508,75.749137878
254.6604,75.749137878
254.8128,75.749137878
254.9652,75.749137878
255.1176,75.749137878
255.27,75.749137878
255.4224,75.749137878
255.5748,75.749137878
255.7272,75.749137878
255.8796,75.749137878
256.032,75.749137878
256.1844,75.749137878
256.3368,75.749137878
256.4892,82.654037476
256.6416,82.654037476
256.794,82.654037476
256.9464,82.654037476
257.0988,82.654037476
257.2512,82.654037476
257.4036,82.654037476
257.556,82.654037476
257.7084,82.654037476
257.8608,82.654037476
258.0132,82.654037476
258.1656,82.654037476
258.318,82.654037476
258.4704,82.654037476
258.6228,82.654037476
258.7752,82.654037476
258.9276,82.654037476
259.08,82.654037476
259.2324,82.654037476
259.3848,82.654037476
259.5372,82.654037476
259.6896,82.654037476
259.842,82.654037476
259.9944,82.654037476
260.1468,81.855033875
260.2992,81.855033875
260.4516,81.855033875
260.604,81.855033875
260.7564,81.855033875
260.9088,81.855033875
261.0612,81.855033875
261.2136,81.855033875
261.366,81.855033875
261.5184,81.855033875
261.6708,81.855033875
261.8232,81.855033875
261.9756,81.855033875
262.128,81.855033875
262.2804,83.720359802
262.4328,83.720359802
262.5852,83.720359802
262.7376,83.720359802
262.89,83.720359802
263.0424,83.720359802
263.1948,83.720359802
263.3472,83.720359802
263.4996,83.720359802
263.652,83.720359802
263.8044,83.720359802
263.9568,83.720359802
264.1092,83.720359802
264.2616,83.720359802
264.414,80.542121887
264.5664,80.542121887
264.7188,80.542121887
264.8712,80.542121887
265.0236,80.542121887
265.176,80.542121887
265.3284,80.542121887
265.4808,80.542121887
265.6332,80.542121887
265.7856,80.542121887
265.938,80.542121887
266.0904,80.542121887
266.2428,80.542121887
266.3952,80.542121887
266.5476,80.542121887
266.7,80.542121887
266.8524,80.542121887
267.0048,80.542121887
267.1572,80.542121887
267.3096,80.542121887
267.462,80.542121887
267.6144,80.542121887
267.7668,80.542121887
267.9192,82.594345093
268.0716,82.594345093
268.224,82.594345093
268.3764,82.594345093
268.5288,82.594345093
268.6812,82.594345093
268.8336,82.594345093
268.986,82.594345093
269.1384,82.594345093
269.2908,82.594345093
269.4432,82.594345093
269.5956,82.594345093
269.748,82.594345093
269.9004,82.594345093
270.0528,82.594345093
270.2052,82.594345093
270.3576,82.594345093
270.51,82.594345093
270.6624,82.594345093
270.8148,82.594345093
270.9672,82.594345093
271.1196,82.594345093
271.272,82.594345093
271.4244,82.594345093
271.5768,79.919052124
271.7292,79.919052124
271.8816,79.919052124
272.034,79.919052124
272.1864,79.919052124
272.3388,79.919052124
272.4912,79.919052124
272.6436,79.919052124
272.796,79.919052124
272.9484,79.919052124
273.1008,79.919052124
273.2532,79.919052124
273.4056,79.919052124
273.558,79.919052124
273.7104,79.919052124
273.8628,79.919052124
274.0152,79.919052124
274.1676,79.919052124
274.32,79.919052124
274.4724,79.919052124
274.6248,80.954193115
274.7772,80.954193115
274.9296,80.954193115
275.082,80.954193115
275.2344,80.954193115
275.3868,80.954193115
275.5392,80.954193115
275.6916,80.954193115
275.844,80.954193115
275.9964,80.954193115
276.1488,80.954193115
276.3012,80.954193115
276.4536,80.954193115
276.606,80.954193115
276.7584,80.954193115
276.9108,80.954193115
277.0632,83.726638794
277.2156,83.726638794
277.368,83.726638794
277.5204,83.726638794
277.6728,83.726638794
277.8252,83.726638794
277.9776,83.726638794
278.13,83.726638794
278.2824,83.726638794
278.4348,83.726638794
278.5872,83.726638794
278.7396,83.726638794
278.892,83.726638794
279.0444,83.726638794
279.1968,83.726638794
279.3492,83.726638794
279.5016,83.726638794
279.654,83.726638794
279.8064,83.726638794
279.9588,83.726638794
280.1112,83.726638794
280.2636,83.726638794
280.416,83.726638794
280.5684,83.726638794
280.7208,79.745094299
280.8732,79.745094299
281.0256,79.745094299
281.178,79.745094299
281.3304,79.745094299
281.4828,79.745094299
281.6352,79.745094299
281.7876,79.745094299
281.94,79.745094299
282.0924,79.745094299
282.2448,79.745094299
282.3972,79.745094299
282.5496,79.745094299
282.702,79.745094299
282.8544,79.745094299
283.0068,79.745094299
283.1592,79.745094299
283.3116,79.745094299
283.464,79.745094299
283.6164,79.745094299
283.7688,79.745094299
283.9212,79.745094299
284.0736,79.745094299
284.226,79.745094299
284.3784,79.745094299
284.5308,79.745094299
284.6832,79.745094299
284.8356,79.745094299
284.988,79.745094299
285.1404,79.745094299
285.2928,79.745094299
285.4452,79.745094299
285.5976,79.240898132
285.75,79.240898132
285.9024,79.240898132
286.0548,79.240898132
286.2072,79.240898132
286.3596,79.240898132
286.512,79.240898132
286.6644,79.240898132
286.8168,79.240898132
286.9692,79.240898132
287.1216,79.240898132
287.274,79.240898132
287.4264,79.240898132
287.5788,79.240898132
287.7312,79.240898132
287.8836,83.837509155
288.036,83.837509155
288.1884,83.837509155
288.3408,83.837509155
288.4932,83.837509155
288.6456,83.837509155
288.798,83.837509155
288.9504,83.837509155
289.1028,83.837509155
289.2552,83.837509155
289.4076,83.837509155
289.56,83.837509155
289.7124,83.837509155
289.8648,83.837509155
290.0172,83.321235657
290.1696,83.321235657
290.322,83.321235657
290.4744,83.321235657
290.6268,83.321235657
290.7792,83.321235657
290.9316,83.321235657
291.084,83.321235657
291.2364,83.321235657
291.3888,83.321235657
291.5412,83.321235657
291.6936,83.321235657
291.846,83.321235657
291.9984,83.321235657
292.1508,81.670295715
292.3032,81.670295715
292.4556,81.670295715
292.608,81.670295715
292.7604,81.670295715
292.9128,81.670295715
293.0652,81.670295715
293.2176,81.670295715
293.37,81.670295715
293.5224,81.670295715
293.6748,81.670295715
293.8272,81.670295715
293.9796,81.670295715
294.132,81.670295715
294.2844,83.392211914
294.4368,83.392211914
294.5892,83.392211914
294.7416,83.392211914
294.894,83.392211914
295.0464,83.392211914
295.1988,83.392211914
295.3512,83.392211914
295.5036,83.392211914
295.656,83.392211914
295.8084,83.392211914
295.9608,83.392211914
296.1132,83.392211914
296.2656,83.392211914
296.418,81.236030579
296.5704,81.236030579
296.7228,81.236030579
296.8752,81.236030579
297.0276,81.236030579
297.18,81.236030579
297.3324,81.236030579
297.4848,81.236030579
297.6372,81.236030579
297.7896,81.236030579
297.942,81.236030579
298.0944,81.236030579
298.2468,81.236030579
298.3992,81.236030579
298.5516,81.236030579
298.704,78.836471558
298.8564,78.836471558
299.0088,78.836471558
299.1612,78.836471558
299.3136,78.836471558
299.466,78.836471558
299.6184,78.836471558
299.7708,78.836471558
299.9232,78.836471558
300.0756,78.836471558
300.228,78.836471558
300.3804,78.836471558
300.5328,78.836471558
300.6852,78.836471558
300.8376,78.836471558
300.99,78.836471558
301.1424,78.836471558
301.2948,78.836471558
301.4472,79.783599854
301.5996,79.783599854
301.752,79.783599854
301.9044,79.783599854
302.0568,79.783599854
302.2092,79.783599854
302.3616,79.783599854
302.514,79.783599854
302.6664,79.783599854
302.8188,79.783599854
302.9712,79.783599854
303.1236,79.783599854
303.276,79.783599854
303.4284,79.783599854
303.5808,79.783599854
303.7332,79.783599854
303.8856,79.783599854
304.038,79.783599854
304.1904,78.52684021
304.3428,78.52684021
304.4952,78.52684021
304.6476,78.52684021
304.8,78.52684021
304.9524,78.52684021
305.1048,78.52684021
305.2572,78.52684021
305.4096,78.52684021
305.562,78.52684021
305.7144,78.52684021
305.8668,78.52684021
306.0192,78.52684021
306.1716,78.52684021
306.324,78.52684021
306.4764,80.132461548
306.6288,80.132461548
306.7812,80.132461548
306.9336,80.132461548
307.086,80.132461548
307.2384,80.132461548
307.3908,80.132461548
307.5432,80.132461548
307.6956,80.132461548
307.848,80.132461548
308.0004,80.132461548
308.1528,80.132461548
308.3052,80.132461548
308.4576,80.132461548
308.61,80.132461548
308.7624,80.132461548
308.9148,80.132461548
309.0672,80.132461548
309.2196,80.132461548
309.372,80.132461548
309.5244,80.132461548
309.6768,80.132461548
309.8292,80.132461548
309.9816,80.132461548
310.134,81.685836792
310.2864,81.685836792
310.4388,81.685836792
310.5912,81.685836792
310.7436,81.685836792
310.896,81.685836792
311.0484,81.685836792
311.2008,81.685836792
311.3532,81.685836792
311.5056,81.685836792
311.658,81.685836792
311.8104,81.685836792
311.9628,81.685836792
312.1152,81.685836792
312.2676,81.685836792
312.42,81.685836792
312.5724,81.685836792
312.7248,81.317092896
312.8772,81.317092896
313.0296,81.317092896
313.182,81.317092896
313.3344,81.317092896
313.4868,81.317092896
313.6392,81.317092896
313.7916,81.317092896
313.944,81.317092896
314.0964,81.317092896
314.2488,81.317092896
314.4012,81.317092896
314.5536,81.317092896
314.706,81.317092896
314.8584,81.317092896
315.0108,81.317092896
315.1632,81.317092896
315.3156,81.317092896
315.468,81.317092896
315.6204,81.317092896
315.7728,81.317092896
315.9252,81.317092896
316.0776,81.317092896
316.23,81.317092896
316.3824,81.317092896
316.5348,80.293502808
316.6872,80.293502808
316.8396,80.293502808
316.992,80.293502808
317.1444,80.293502808
317.2968,80.293502808
317.4492,80.293502808
317.6016,80.293502808
317.754,80.293502808
317.9064,80.293502808
318.0588,80.293502808
318.2112,80.293502808
318.3636,80.293502808
318.516,80.293502808
318.6684,80.293502808
318.8208,81.415679932
318.9732,81.415679932
319.1256,81.415679932
319.278,81.415679932
319.4304,81.415679932
319.5828,81.415679932
319.7352,81.415679932
319.8876,81.415679932
320.04,81.415679932
320.1924,81.415679932
320.3448,81.415679932
320.4972,81.415679932
320.6496,81.415679932
320.802,81.415679932
320.9544,81.415679932
321.1068,81.415679932
321.2592,81.415679932
321.4116,78.371437073
321.564,78.371437073
321.7164,78.371437073
321.8688,78.371437073
322.0212,78.371437073
322.1736,78.371437073
322.326,78.371437073
322.4784,78.371437073
322.6308,78.371437073
322.7832,78.371437073
322.9356,78.371437073
323.088,78.371437073
