DEPT,GR50m_Espaciam
249.936,52.126300812
250.0884,80.272605896
250.2408,80.272605896
250.3932,80.272605896
250.5456,80.272605896
250.698,80.272605896
250.8504,80.272605896
251.0028,80.272605896
251.1552,80.272605896
251.3076,80.272605896
251.46,80.272605896
251.6124,80.272605896
251.7648,80.272605896
251.9172,80.272605896
252.0696,80.272605896
252.222,80.272605896
252.3744,80.272605896
252.5268,80.272605896
252.6792,80.272605896
252.8316,80.272605896
252.984,80.272605896
253.1364,80.272605896
253.2888,80.272605896
253.4412,80.272605896
253.5936,80.272605896
253.746,80.272605896
253.8984,80.272605896
254.0508,80.272605896
254.2032,80.272605896
254.3556,80.272605896
254.508,80.272605896
254.6604,80.272605896
254.8128,80.272605896
254.9652,80.272605896
255.1176,80.272605896
255.27,80.272605896
255.4224,80.272605896
255.5748,80.272605896
255.7272,80.272605896
255.8796,80.272605896
256.032,80.272605896
256.1844,80.272605896
256.3368,80.272605896
256.4892,80.272605896
256.6416,80.272605896
256.794,80.272605896
256.9464,80.272605896
257.0988,80.272605896
257.2512,80.272605896
257.4036,80.272605896
257.556,80.272605896
257.7084,80.272605896
257.8608,80.272605896
258.0132,80.272605896
258.1656,80.272605896
258.318,80.272605896
258.4704,80.272605896
258.6228,80.272605896
258.7752,80.272605896
258.9276,80.272605896
259.08,80.272605896
259.2324,80.272605896
259.3848,80.272605896
259.5372,80.272605896
259.6896,80.272605896
259.842,80.272605896
259.9944,80.272605896
260.1468,80.272605896
260.2992,80.272605896
260.4516,80.272605896
260.604,80.272605896
260.7564,80.272605896
260.9088,80.272605896
261.0612,80.272605896
261.2136,80.272605896
261.366,80.272605896
261.5184,80.272605896
261.6708,80.272605896
261.8232,80.272605896
261.9756,80.272605896
262.128,80.272605896
262.2804,80.272605896
262.4328,80.272605896
262.5852,80.272605896
262.7376,80.272605896
262.89,80.272605896
263.0424,80.272605896
263.1948,80.272605896
263.3472,80.272605896
263.4996,80.272605896
263.652,80.272605896
263.8044,80.272605896
263.9568,80.272605896
264.1092,80.272605896
264.2616,80.272605896
264.414,80.272605896
264.5664,80.272605896
264.7188,80.272605896
264.8712,80.272605896
265.0236,80.272605896
265.176,80.272605896
265.3284,80.272605896
265.4808,80.272605896
265.6332,80.272605896
265.7856,80.272605896
265.938,80.272605896
266.0904,80.272605896
266.2428,80.272605896
266.3952,80.272605896
266.5476,80.272605896
266.7,80.272605896
266.8524,80.272605896
267.0048,80.272605896
267.1572,80.272605896
267.3096,80.272605896
267.462,80.272605896
267.6144,80.272605896
267.7668,80.272605896
267.9192,80.272605896
268.0716,80.272605896
268.224,80.272605896
268.3764,80.272605896
268.5288,80.272605896
268.6812,80.272605896
268.8336,80.272605896
268.986,80.272605896
269.1384,80.272605896
269.2908,80.272605896
269.4432,80.272605896
269.5956,80.272605896
269.748,80.272605896
269.9004,80.272605896
270.0528,80.272605896
270.2052,80.272605896
270.3576,80.272605896
270.51,80.272605896
270.6624,80.272605896
270.8148,80.272605896
270.9672,80.272605896
271.1196,80.272605896
271.272,80.272605896
271.4244,80.272605896
271.5768,80.272605896
271.7292,80.272605896
271.8816,80.272605896
272.034,80.272605896
272.1864,80.272605896
272.3388,80.272605896
272.4912,80.272605896
272.6436,80.272605896
272.796,80.272605896
272.9484,80.272605896
273.1008,80.272605896
273.2532,80.272605896
273.4056,80.272605896
273.558,80.272605896
273.7104,80.272605896
273.8628,80.272605896
274.0152,80.272605896
274.1676,80.272605896
274.32,80.272605896
274.4724,80.272605896
274.6248,80.272605896
274.7772,80.272605896
274.9296,80.272605896
275.082,80.272605896
275.2344,80.272605896
275.3868,80.272605896
275.5392,80.272605896
275.6916,80.272605896
275.844,80.272605896
275.9964,80.272605896
276.1488,80.272605896
276.3012,80.272605896
276.4536,80.272605896
276.606,80.272605896
276.7584,80.272605896
276.9108,80.272605896
277.0632,80.272605896
277.2156,80.272605896
277.368,80.272605896
277.5204,80.272605896
277.6728,80.272605896
277.8252,80.272605896
277.9776,80.272605896
278.13,80.272605896
278.2824,80.272605896
278.4348,80.272605896
278.5872,80.272605896
278.7396,80.272605896
278.892,80.272605896
279.0444,80.272605896
279.1968,80.272605896
279.3492,80.272605896
279.5016,80.272605896
279.654,80.272605896
279.8064,80.272605896
279.9588,80.272605896
280.1112,80.272605896
280.2636,80.272605896
280.416,80.272605896
280.5684,80.272605896
280.7208,80.272605896
280.8732,80.272605896
281.0256,80.272605896
281.178,80.272605896
281.3304,80.272605896
281.4828,80.272605896
281.6352,80.272605896
281.7876,80.272605896
281.94,80.272605896
282.0924,80.272605896
282.2448,80.272605896
282.3972,80.272605896
282.5496,80.272605896
282.702,80.272605896
282.8544,80.272605896
283.0068,80.272605896
283.1592,80.272605896
283.3116,80.272605896
283.464,80.272605896
283.6164,80.272605896
283.7688,80.272605896
283.9212,80.272605896
284.0736,80.272605896
284.226,80.272605896
284.3784,80.272605896
284.5308,80.272605896
284.6832,80.272605896
284.8356,80.272605896
284.988,80.272605896
285.1404,80.272605896
285.2928,80.272605896
285.4452,80.272605896
285.5976,80.272605896
285.75,80.272605896
285.9024,80.272605896
286.0548,80.272605896
286.2072,80.272605896
286.3596,80.272605896
286.512,80.272605896
286.6644,80.272605896
286.8168,80.272605896
286.9692,80.272605896
287.1216,80.272605896
287.274,80.272605896
287.4264,80.272605896
287.5788,80.272605896
287.7312,80.272605896
287.8836,80.272605896
288.036,80.272605896
288.1884,80.272605896
288.3408,80.272605896
288.4932,80.272605896
288.6456,80.272605896
288.798,80.272605896
288.9504,80.272605896
289.1028,80.272605896
289.2552,80.272605896
289.4076,80.272605896
289.56,80.272605896
289.7124,80.272605896
289.8648,80.272605896
290.0172,80.272605896
290.1696,80.272605896
290.322,80.272605896
290.4744,80.272605896
290.6268,80.272605896
290.7792,80.272605896
290.9316,80.272605896
291.084,80.272605896
291.2364,80.272605896
291.3888,80.272605896
291.5412,80.272605896
291.6936,80.272605896
291.846,80.272605896
291.9984,80.272605896
292.1508,80.272605896
292.3032,80.272605896
292.4556,80.272605896
292.608,80.272605896
292.7604,80.272605896
292.9128,80.272605896
293.0652,80.272605896
293.2176,80.272605896
293.37,80.272605896
293.5224,80.272605896
293.6748,80.272605896
293.8272,80.272605896
293.9796,80.272605896
294.132,80.272605896
294.2844,80.272605896
294.4368,80.272605896
294.5892,80.272605896
294.7416,80.272605896
294.894,80.272605896
295.0464,80.272605896
295.1988,80.272605896
295.3512,80.272605896
295.5036,80.272605896
295.656,80.272605896
295.8084,80.272605896
295.9608,80.272605896
296.1132,80.272605896
296.2656,80.272605896
296.418,80.272605896
296.5704,80.272605896
296.7228,80.272605896
296.8752,80.272605896
297.0276,80.272605896
297.18,80.272605896
297.3324,80.272605896
297.4848,80.272605896
297.6372,80.272605896
297.7896,80.272605896
297.942,80.272605896
298.0944,80.272605896
298.2468,80.272605896
298.3992,80.272605896
298.5516,80.272605896
298.704,80.272605896
298.8564,80.272605896
299.0088,80.272605896
299.1612,80.272605896
299.3136,80.272605896
299.466,80.272605896
299.6184,80.272605896
299.7708,80.272605896
299.9232,80.272605896
300.0756,80.272605896
300.228,80.272605896
300.3804,80.272605896
300.5328,80.272605896
300.6852,80.272605896
300.8376,80.272605896
300.99,80.272605896
301.1424,80.272605896
301.2948,80.272605896
301.4472,80.272605896
301.5996,80.272605896
301.752,80.272605896
301.9044,80.272605896
302.0568,80.272605896
302.2092,80.272605896
302.3616,80.272605896
302.514,80.272605896
302.6664,80.272605896
302.8188,80.272605896
302.9712,80.272605896
303.1236,80.272605896
303.276,80.272605896
303.4284,80.272605896
303.5808,80.272605896
303.7332,80.272605896
303.8856,80.272605896
304.038,80.272605896
304.1904,80.272605896
304.3428,80.272605896
304.4952,80.272605896
304.6476,80.272605896
304.8,80.272605896
304.9524,80.272605896
305.1048,80.272605896
305.2572,80.272605896
305.4096,80.272605896
305.562,80.272605896
305.7144,80.272605896
305.8668,80.272605896
306.0192,80.272605896
306.1716,80.272605896
306.324,80.272605896
306.4764,80.272605896
306.6288,80.272605896
306.7812,80.272605896
306.9336,80.272605896
307.086,80.272605896
307.2384,80.272605896
307.3908,80.272605896
307.5432,80.272605896
307.6956,80.272605896
307.848,80.272605896
308.0004,80.272605896
308.1528,80.272605896
308.3052,80.272605896
308.4576,80.272605896
308.61,80.272605896
308.7624,80.272605896
308.9148,80.272605896
309.0672,80.272605896
309.2196,80.272605896
309.372,80.272605896
309.5244,80.272605896
309.6768,80.272605896
309.8292,80.272605896
309.9816,80.272605896
310.134,80.272605896
310.2864,80.272605896
310.4388,80.272605896
310.5912,80.272605896
310.7436,80.272605896
310.896,80.272605896
311.0484,80.272605896
311.2008,80.272605896
311.3532,80.272605896
311.5056,80.272605896
311.658,80.272605896
311.8104,80.272605896
311.9628,80.272605896
312.1152,80.272605896
312.2676,80.272605896
312.42,80.272605896
312.5724,80.272605896
312.7248,80.272605896
312.8772,80.272605896
313.0296,80.272605896
313.182,80.272605896
313.3344,80.272605896
313.4868,80.272605896
313.6392,80.272605896
313.7916,80.272605896
313.944,80.272605896
314.0964,80.272605896
314.2488,80.272605896
314.4012,80.272605896
314.5536,80.272605896
314.706,80.272605896
314.8584,80.272605896
315.0108,80.272605896
315.1632,80.272605896
315.3156,80.272605896
315.468,80.272605896
315.6204,80.272605896
315.7728,80.272605896
315.9252,80.272605896
316.0776,80.272605896
316.23,80.272605896
316.3824,80.272605896
316.5348,80.272605896
316.6872,80.272605896
316.8396,80.272605896
316.992,80.272605896
317.1444,80.272605896
317.2968,80.272605896
317.4492,80.272605896
317.6016,80.272605896
317.754,80.272605896
317.9064,80.272605896
318.0588,80.272605896
318.2112,80.272605896
318.3636,80.272605896
318.516,80.272605896
318.6684,80.272605896
318.8208,80.272605896
318.9732,80.272605896
319.1256,80.272605896
319.278,80.272605896
319.4304,80.272605896
319.5828,80.272605896
319.7352,80.272605896
319.8876,80.272605896
320.04,80.272605896
320.1924,80.272605896
320.3448,80.272605896
320.4972,80.272605896
320.6496,80.272605896
320.802,80.272605896
320.9544,80.272605896
321.1068,80.272605896
321.2592,80.272605896
321.4116,80.272605896
321.564,80.272605896
321.7164,80.272605896
321.8688,80.272605896
322.0212,80.272605896
322.1736,80.272605896
322.326,80.272605896
322.4784,80.272605896
322.6308,80.272605896
322.7832,80.272605896
322.9356,80.272605896
323.088,80.272605896
323.2404,80.272605896
323.3928,80.272605896
323.5452,80.272605896
323.6976,80.272605896
323.85,80.272605896
324.0024,80.272605896
324.1548,80.272605896
324.3072,80.272605896
324.4596,80.272605896
324.612,80.272605896
324.7644,80.272605896
324.9168,80.272605896
325.0692,80.272605896
325.2216,80.272605896
325.374,80.272605896
325.5264,80.272605896
325.6788,80.272605896
325.8312,80.272605896
325.9836,80.272605896
326.136,80.272605896
326.2884,80.272605896
326.4408,80.272605896
326.5932,80.272605896
326.7456,80.272605896
326.898,80.272605896
327.0504,80.272605896
327.2028,80.272605896
327.3552,80.272605896
327.5076,80.272605896
327.66,80.272605896
327.8124,80.272605896
327.9648,80.272605896
328.1172,80.272605896
328.2696,80.272605896
328.422,80.272605896
328.5744,80.272605896
328.7268,80.272605896
328.8792,80.272605896
329.0316,80.272605896
329.184,80.272605896
329.3364,80.272605896
329.4888,80.272605896
329.6412,80.272605896
329.7936,80.272605896
329.946,80.272605896
330.0984,80.272605896
330.2508,80.272605896
330.4032,80.272605896
330.5556,80.272605896
330.708,80.272605896
330.8604,80.272605896
331.0128,80.272605896
331.1652,80.272605896
331.3176,80.272605896
331.47,80.272605896
331.6224,80.272605896
331.7748,80.272605896
331.9272,80.272605896
332.0796,80.272605896
332.232,80.272605896
332.3844,80.272605896
332.5368,80.272605896
332.6892,80.272605896
332.8416,80.272605896
332.994,80.272605896
333.1464,80.272605896
333.2988,80.272605896
333.4512,80.272605896
333.6036,80.272605896
333.756,80.272605896
333.9084,80.272605896
334.0608,80.272605896
334.2132,80.272605896
334.3656,80.272605896
334.518,80.272605896
334.6704,80.272605896
334.8228,80.272605896
334.9752,80.272605896
335.1276,80.272605896
335.28,80.272605896
335.4324,80.272605896
335.5848,80.272605896
335.7372,80.272605896
335.8896,80.272605896
336.042,80.272605896
336.1944,80.272605896
336.3468,80.272605896
336.4992,80.272605896
336.6516,80.272605896
336.804,80.272605896
336.9564,80.272605896
337.1088,80.272605896
337.2612,80.272605896
