DEPT,GR,RES_DEP
249.936,52.126300812,0.0832000002
250.0884,51.541999817,0.0825999975
250.2408,51.946498871,0.084800005
250.3932,53.549701691,0.0905000046
250.5456,57.685100555,0.0888999999
250.698,60.277099609,0.0851999968
250.8504,58.374298096,0.0842000172
251.0028,55.422599792,0.0826999992
251.1552,55.587398529,0.0751999989
251.3076,56.291599274,0.0680999905
251.46,59.423099518,0.0503999926
251.6124,68.038398743,0.0499999933
251.7648,72.728103638,0.0499999933
251.9172,71.649299622,0.0782999992
252.0696,72.008903503,0.1045999974
252.222,73.612098694,0.1265000105
252.3744,72.758102417,0.1621000022
252.5268,69.506698608,0.1949000061
252.6792,68.532798767,0.2113000005
252.8316,71.918998718,0.2176000029
252.984,74.606002808,0.2274000049
253.1364,75.405097961,0.2387000173
253.2888,78.501602173,0.2531000078
253.4412,81.553199768,0.246999979
253.5936,80.729103088,0.2429000139
253.746,78.092102051,0.2380000055
253.8984,75.724700928,0.2326999903
254.0508,73.372398376,0.2279999852
254.2032,75.739700317,0.2193000019
254.3556,82.856697083,0.1974999905
254.508,82.871696472,0.1856999844
254.6604,76.234199524,0.1941999793
254.8128,73.806900024,0.2065000087
254.9652,74.720901489,0.2268999964
255.1176,73.851799011,0.2533999979
255.27,71.319702148,0.2833999991
255.4224,69.386901855,0.3440000117
255.5748,69.596603394,0.3898999989
255.7272,70.780296326,0.4230000079
255.8796,71.544502258,0.4221999943
256.032,71.739196777,0.3873000145
256.1844,70.90019989,0.3404999971
256.3368,70.630500793,0.3526000082
256.4892,76.159301758,0.3675999939
256.6416,87.022003174,0.4223999977
256.794,93.239997864,0.4832000136
256.9464,91.037498474,0.5860999823
257.0988,87.037002563,0.6431999803
257.2512,85.553703308,0.7537999749
257.4036,84.355003357,0.8151999712
257.556,82.347297668,0.8544999957
257.7084,81.957702637,0.9366000295
257.8608,82.676902771,1.0063999891
258.0132,81.478302002,1.0437999964
258.1656,78.451698303,1.0620000362
258.318,77.732498169,1.0448999405
258.4704,81.583198547,0.9300000072
258.6228,84.444900513,1.2263000011
258.7752,81.523200989,1.7135000229
258.9276,79.50050354,1.939800024
259.08,83.396102905,2.4732999802
259.2324,89.179603577,2.4096999168
259.3848,93.974197388,2.6138999462
259.5372,95.562400818,2.7648000717
259.6896,92.445899963,3.2237999439
259.842,86.033096313,3.4263000488
259.9944,80.519302368,3.3172998428
260.1468,79.50050354,3.3326001167
260.2992,80.009902954,3.5386998653
260.4516,80.549301147,3.3484003544
260.604,81.957702637,2.9714999199
260.7564,83.126403809,2.9714999199
260.9088,83.725700378,3.3847002983
261.0612,81.148597717,3.1756999493
261.2136,74.945602417,3.1598000526
261.366,70.750297546,3.3766002655
261.5184,73.147598267,3.7485003471
261.6708,79.530502319,3.2777001858
261.8232,84.11530304,3.1271998882
261.9756,84.295097351,3.1024999619
262.128,81.807899475,2.9667999744
262.2804,80.249702454,3.0315999985
262.4328,81.148597717,3.0313000679
262.5852,82.73690033,3.1173000336
262.7376,82.377296448,2.9742000103
262.89,81.897796631,3.2118999958
263.0424,83.785697937,2.9579999447
263.1948,88.879898071,3.0236999989
263.3472,94.873199463,2.897300005
263.4996,96.161697388,2.897300005
263.652,91.936500549,2.9888000488
263.8044,86.812301636,3.0755999088
263.9568,85.194099426,2.9818000793
264.1092,85.883300781,3.0329999924
264.2616,85.613601685,3.075799942
264.414,83.545898438,2.9602000713
264.5664,80.249702454,2.9721999168
264.7188,77.163101196,3.005300045
264.8712,74.256401062,3.1665997505
265.0236,71.559402466,3.0434000492
265.176,70.69039917,3.0360999107
265.3284,71.889099121,2.9205000401
265.4808,75.574897766,2.9302999973
265.6332,79.860099792,3.0248000622
265.7856,81.942703247,2.9416000843
265.938,83.845596313,2.9277999401
266.0904,84.669700623,2.9126999378
266.2428,83.186302185,2.7576999664
266.3952,82.467201233,2.9758999348
266.5476,83.336196899,2.8190000057
266.7,83.336196899,2.885299921
266.8524,80.159698486,2.9398999214
267.0048,76.563796997,2.929500103
267.1572,75.455101013,2.8845999241
267.3096,75.664802551,2.5520000458
267.462,76.174201965,2.426500082
267.6144,77.67250061,2.4790000916
267.7668,81.478302002,2.611000061
267.9192,86.482597351,2.8740999699
268.0716,89.569198608,2.6819000244
268.224,88.160697937,2.7451999187
268.3764,83.875602722,2.7757000923
268.5288,81.68800354,2.7955000401
268.6812,81.68800354,2.9595000744
268.8336,80.384498596,2.8443000317
268.986,78.871200562,3.0411000252
269.1384,80.264602661,2.9326000214
269.2908,81.448303223,2.7516999245
269.4432,80.729103088,2.7562000751
269.5956,82.946601868,2.769299984
269.748,86.752296448,2.848099947
269.9004,87.741203308,2.8945000172
270.0528,88.550300598,2.9375998974
270.2052,88.954902649,2.8798000813
270.3576,85.413803101,3.0260000229
270.51,79.585403442,2.9786000252
270.6624,78.521598816,2.7274000645
270.8148,83.703300476,3.0262000561
270.9672,84.397499084,2.9593000412
271.1196,81.614601135,2.899600029
271.272,82.0911026,2.9804000854
271.4244,81.694000244,3.0053999424
271.5768,80.1147995,2.8299000263
271.7292,79.799201965,2.8097000122
271.8816,80.269897461,2.8496000767
272.034,80.638801575,3.0020999908
272.1864,80.577697754,2.9131000042
272.3388,80.812599182,3.5932998657
272.4912,81.885398865,3.2844002247
272.6436,80.473701477,3.3931000233
272.796,76.820396423,3.8629000187
272.9484,76.968597412,3.3452000618
273.1008,80.111701965,3.3594002724
273.2532,81.035797119,3.3276002407
273.4056,79.880500793,4.0493001938
273.558,78.647499084,4.0848999023
273.7104,76.675300598,3.4010996819
273.8628,74.098701477,4.0422997475
274.0152,74.084098816,4.195400238
274.1676,77.671302795,3.5167996883
274.32,81.633102417,4.4099006653
274.4724,83.133903503,4.6939997673
274.6248,81.328399658,3.3878002167
274.7772,80.21219635,3.0085000992
274.9296,82.107597351,2.8359999657
275.082,83.246299744,2.6236000061
275.2344,82.666900635,2.6264998913
275.3868,81.332702637,2.7948000431
275.5392,80.158203125,4.1909999847
275.6916,80.908096313,2.3800001144
275.844,80.639198303,2.5483999252
275.9964,77.472801208,2.1879000664
276.1488,76.953399658,3.3150000572
276.3012,78.321800232,5.0989999771
276.4536,77.955596924,4.8200001717
276.606,79.43119812,4.0806999207
276.7584,82.484802246,2.9458999634
276.9108,84.381698608,2.649600029
277.0632,84.573600769,2.5357999802
277.2156,84.645698547,2.6570000648
277.368,84.606697083,2.3917000294
277.5204,83.641799927,2.7072000504
277.6728,85.381401062,2.8752000332
277.8252,86.695396423,2.8085999489
277.9776,85.689498901,2.1940999031
278.13,86.720397949,2.2820000648
278.2824,87.401603699,1.755499959
278.4348,85.154098511,1.4924000502
278.5872,82.637001038,1.1850999594
278.7396,83.595901489,0.9531000257
278.892,86.992103577,0.8751000166
279.0444,87.441596985,0.8519999981
279.1968,85.313903809,1.0019999743
279.3492,80.529296875,0.8643000126
279.5016,77.033302307,0.7354000211
279.654,82.397201538,0.7466999888
279.8064,89.888801575,0.695200026
279.9588,90.518096924,0.7748000026
280.1112,86.063102722,0.6741999984
280.2636,82.17250061,0.7160999775
280.416,80.459396362,0.6852999926
280.5684,80.32460022,0.6518999934
280.7208,81.737998962,0.649699986
280.8732,84.265098572,0.6122999787
281.0256,82.242401123,0.5677000284
281.178,75.704803467,0.5611000061
281.3304,74.591003418,0.5317000151
281.4828,76.713600159,0.5361999869
281.6352,79.600402832,0.5242999792
281.7876,85.11920166,0.5218999982
281.94,84.864501953,0.5235000253
282.0924,78.536598206,0.5370000005
282.2448,74.765800476,0.5587999821
282.3972,75.480003357,0.5807999969
282.5496,76.683700562,0.5699999928
282.702,78.666397095,0.6018999815
282.8544,81.158599854,0.6657000184
283.0068,81.777900696,0.6416000128
283.1592,83.421096802,0.6369000077
283.3116,81.807899475,0.6065999866
283.464,76.069396973,0.5770000219
283.6164,74.655899048,0.5551999807
283.7688,78.421699524,0.5370000005
283.9212,81.173599243,0.570200026
284.0736,81.268501282,0.6194000244
284.226,80.594299316,0.6396999955
284.3784,78.102096558,0.6147000194
284.5308,75.999397278,0.6244000196
284.6832,77.792396545,0.6256999969
284.8356,82.731903076,0.6121000051
284.988,84.434898376,0.6074000001
285.1404,83.116401672,0.6302999854
285.2928,83.645797729,0.6125000119
285.4452,81.358398438,0.574000001
285.5976,76.433898926,0.549399972
285.75,74.196502686,0.5327000022
285.9024,74.436203003,0.5224999785
286.0548,76.30909729,0.507700026
286.2072,78.901199341,0.5145000219
286.3596,78.986099243,0.5174999833
286.512,78.022201538,0.5182999969
286.6644,77.662597656,0.5177999735
286.8168,75.065498352,0.5203999877
286.9692,74.316299438,0.4984000027
287.1216,77.592597961,0.513100028
287.274,78.4815979,0.5291000009
287.4264,78.122001648,0.4881999791
287.5788,80.279602051,0.4982999861
287.7312,78.132003784,0.5217000246
287.8836,74.655899048,0.5521000028
288.036,81.997703552,0.5691000223
288.1884,91.042503357,0.6326000094
288.3408,92.286102295,0.6984000206
288.4932,91.092399597,0.7727000117
288.6456,87.950996399,0.8715999722
288.798,84.345001221,0.9060999751
288.9504,82.761802673,0.9086999893
289.1028,82.467201233,0.975300014
289.2552,83.530899048,1.0283999443
289.4076,83.526000977,1.0382000208
289.56,84.929397583,1.0576000214
289.7124,88.670196533,1.0960999727
289.8648,88.395500183,1.2246999741
290.0172,87.211799622,1.2417000532
290.1696,86.742301941,1.2181999683
290.322,83.84059906,0.9954000115
290.4744,82.297302246,1.0468000174
290.6268,80.664199829,1.1138000488
290.7792,78.251899719,1.3166999817
290.9316,79.820098877,1.4464999437
291.084,82.067596436,1.5647000074
291.2364,83.266296387,1.6197999716
291.3888,85.913299561,1.5809999704
291.5412,87.421600342,1.504799962
291.6936,85.943199158,1.8272999525
291.846,83.071502686,1.9521000385
291.9984,82.087600708,2.1600999832
292.1508,81.782897949,2.8536999226
292.3032,79.930000305,3.6500000954
292.4556,79.510498047,3.5862998962
292.608,80.409500122,3.9483001232
292.7604,82.547096252,3.9782001972
292.9128,85.503700256,3.1417000294
293.0652,83.146400452,2.913599968
293.2176,79.315696716,2.5769999027
293.37,78.461700439,3.1607000828
293.5224,75.819602966,3.0676000118
